_____________________________________state_______________________________________
alpha, 
125: [Product: 2, Recipe: E, Step: 3]
126: [Product: 16, Recipe: E, Step: 3]
127: [Product: 16, Recipe: E, Step: 3]
128: [Product: 16, Recipe: E, Step: 3]
129: [Product: 16, Recipe: E, Step: 3]
130: [Product: 16, Recipe: E, Step: 3]
131: [Product: 16, Recipe: E, Step: 3]
132: [Product: 11, Recipe: E, Step: 3]
133: [Product: 11, Recipe: E, Step: 3]
134: [Product: 11, Recipe: E, Step: 3]
135: [Product: 11, Recipe: E, Step: 3]
136: [Product: 11, Recipe: E, Step: 3]
137: [Product: 11, Recipe: E, Step: 3]
138: [Product: 13, Recipe: E, Step: 3]
139: [Product: 13, Recipe: E, Step: 3]
140: [Product: 13, Recipe: E, Step: 3]
141: [Product: 13, Recipe: E, Step: 3]
142: [Product: 13, Recipe: E, Step: 3]
143: [Product: 13, Recipe: E, Step: 3]
144: [switch]
145: [Product: 5, Recipe: A, Step: 5]
146: [Product: 5, Recipe: A, Step: 5]
147: [Product: 5, Recipe: A, Step: 5]
148: [Product: 5, Recipe: A, Step: 5]
149: [Product: 10, Recipe: A, Step: 5]
150: [Product: 10, Recipe: A, Step: 5]
151: [Product: 10, Recipe: A, Step: 5]
152: [Product: 10, Recipe: A, Step: 5]
153: [Product: 12, Recipe: A, Step: 5]
154: [Product: 12, Recipe: A, Step: 5]
155: [Product: 12, Recipe: A, Step: 5]
156: [Product: 12, Recipe: A, Step: 5]
157: [Product: 21, Recipe: A, Step: 5]
158: [Product: 21, Recipe: A, Step: 5]
159: [Product: 21, Recipe: A, Step: 5]
160: [Product: 21, Recipe: A, Step: 5]
161: [Product: 14, Recipe: A, Step: 5]
162: [Product: 14, Recipe: A, Step: 5]
163: [Product: 14, Recipe: A, Step: 5]
164: [Product: 14, Recipe: A, Step: 5]
165: [Product: 7, Recipe: A, Step: 5]
166: [Product: 7, Recipe: A, Step: 5]
167: [Product: 7, Recipe: A, Step: 5]
168: [Product: 7, Recipe: A, Step: 5]
__________________________
beta, 
1: [Product: 21, Recipe: B, Step: 1]
2: [Product: 21, Recipe: B, Step: 1]
3: [Product: 21, Recipe: B, Step: 1]
4: [Product: 7, Recipe: B, Step: 1]
5: [Product: 7, Recipe: B, Step: 1]
6: [Product: 7, Recipe: B, Step: 1]
7: [Product: 22, Recipe: B, Step: 1]
8: [Product: 22, Recipe: B, Step: 1]
9: [Product: 22, Recipe: B, Step: 1]
10: [Product: 14, Recipe: B, Step: 1]
11: [Product: 14, Recipe: B, Step: 1]
12: [Product: 14, Recipe: B, Step: 1]
13: [Product: 17, Recipe: B, Step: 1]
14: [Product: 17, Recipe: B, Step: 1]
15: [Product: 17, Recipe: B, Step: 1]
16: [Product: 1, Recipe: B, Step: 1]
17: [Product: 1, Recipe: B, Step: 1]
18: [Product: 1, Recipe: B, Step: 1]
19: [Product: 2, Recipe: B, Step: 1]
20: [Product: 2, Recipe: B, Step: 1]
21: [Product: 2, Recipe: B, Step: 1]
22: [Product: 11, Recipe: B, Step: 1]
23: [Product: 11, Recipe: B, Step: 1]
24: [Product: 11, Recipe: B, Step: 1]
25: [Product: 5, Recipe: B, Step: 1]
26: [Product: 5, Recipe: B, Step: 1]
27: [Product: 5, Recipe: B, Step: 1]
28: [switch]
29: [Product: 13, Recipe: C, Step: 2]
30: [Product: 13, Recipe: C, Step: 2]
31: [Product: 13, Recipe: C, Step: 2]
32: [Product: 13, Recipe: C, Step: 2]
33: [Product: 13, Recipe: C, Step: 2]
34: [Product: 21, Recipe: C, Step: 2]
35: [Product: 21, Recipe: C, Step: 2]
36: [Product: 21, Recipe: C, Step: 2]
37: [Product: 21, Recipe: C, Step: 2]
38: [Product: 21, Recipe: C, Step: 2]
39: [Product: 2, Recipe: C, Step: 2]
40: [Product: 2, Recipe: C, Step: 2]
41: [Product: 2, Recipe: C, Step: 2]
42: [Product: 2, Recipe: C, Step: 2]
43: [Product: 2, Recipe: C, Step: 2]
44: [Product: 15, Recipe: C, Step: 2]
45: [Product: 15, Recipe: C, Step: 2]
46: [Product: 15, Recipe: C, Step: 2]
47: [Product: 15, Recipe: C, Step: 2]
48: [Product: 15, Recipe: C, Step: 2]
49: [Product: 18, Recipe: C, Step: 2]
50: [Product: 18, Recipe: C, Step: 2]
51: [Product: 18, Recipe: C, Step: 2]
52: [Product: 18, Recipe: C, Step: 2]
53: [Product: 18, Recipe: C, Step: 2]
54: [Product: 10, Recipe: C, Step: 2]
55: [Product: 10, Recipe: C, Step: 2]
56: [Product: 10, Recipe: C, Step: 2]
57: [Product: 10, Recipe: C, Step: 2]
58: [Product: 10, Recipe: C, Step: 2]
59: [Product: 1, Recipe: C, Step: 2]
60: [Product: 1, Recipe: C, Step: 2]
61: [Product: 1, Recipe: C, Step: 2]
62: [Product: 1, Recipe: C, Step: 2]
63: [Product: 1, Recipe: C, Step: 2]
64: [Product: 19, Recipe: C, Step: 4]
65: [Product: 19, Recipe: C, Step: 4]
66: [Product: 19, Recipe: C, Step: 4]
67: [Product: 19, Recipe: C, Step: 4]
68: [Product: 19, Recipe: C, Step: 4]
69: [Product: 4, Recipe: C, Step: 4]
70: [Product: 4, Recipe: C, Step: 4]
71: [Product: 4, Recipe: C, Step: 4]
72: [Product: 4, Recipe: C, Step: 4]
73: [Product: 4, Recipe: C, Step: 4]
74: [Product: 20, Recipe: C, Step: 2]
75: [Product: 20, Recipe: C, Step: 2]
76: [Product: 20, Recipe: C, Step: 2]
77: [Product: 20, Recipe: C, Step: 2]
78: [Product: 20, Recipe: C, Step: 2]
79: [Product: 15, Recipe: C, Step: 5]
80: [Product: 15, Recipe: C, Step: 5]
81: [Product: 15, Recipe: C, Step: 5]
82: [Product: 15, Recipe: C, Step: 5]
83: [Product: 15, Recipe: C, Step: 5]
84: [Product: 9, Recipe: C, Step: 4]
85: [Product: 9, Recipe: C, Step: 4]
86: [Product: 9, Recipe: C, Step: 4]
87: [Product: 9, Recipe: C, Step: 4]
88: [Product: 9, Recipe: C, Step: 4]
89: [Product: 9, Recipe: C, Step: 5]
90: [Product: 9, Recipe: C, Step: 5]
91: [Product: 9, Recipe: C, Step: 5]
92: [Product: 9, Recipe: C, Step: 5]
93: [Product: 9, Recipe: C, Step: 5]
94: [switch]
95: [Product: 17, Recipe: B, Step: 3]
96: [Product: 17, Recipe: B, Step: 3]
97: [Product: 17, Recipe: B, Step: 3]
98: [Product: 17, Recipe: B, Step: 4]
99: [Product: 17, Recipe: B, Step: 4]
100: [Product: 17, Recipe: B, Step: 4]
101: [Product: 20, Recipe: B, Step: 3]
102: [Product: 20, Recipe: B, Step: 3]
103: [Product: 20, Recipe: B, Step: 3]
104: [Product: 22, Recipe: B, Step: 3]
105: [Product: 22, Recipe: B, Step: 3]
106: [Product: 22, Recipe: B, Step: 3]
107: [Product: 5, Recipe: B, Step: 3]
108: [Product: 5, Recipe: B, Step: 3]
109: [Product: 5, Recipe: B, Step: 3]
110: [Product: 8, Recipe: B, Step: 3]
111: [Product: 8, Recipe: B, Step: 3]
112: [Product: 8, Recipe: B, Step: 3]
113: [Product: 3, Recipe: B, Step: 3]
114: [Product: 3, Recipe: B, Step: 3]
115: [Product: 3, Recipe: B, Step: 3]
116: [Product: 7, Recipe: B, Step: 4]
117: [Product: 7, Recipe: B, Step: 4]
118: [Product: 7, Recipe: B, Step: 4]
119: [Product: 3, Recipe: B, Step: 4]
120: [Product: 3, Recipe: B, Step: 4]
121: [Product: 3, Recipe: B, Step: 4]
122: [Product: 10, Recipe: B, Step: 3]
123: [Product: 10, Recipe: B, Step: 3]
124: [Product: 10, Recipe: B, Step: 3]
125: [Product: 8, Recipe: B, Step: 4]
126: [Product: 8, Recipe: B, Step: 4]
127: [Product: 8, Recipe: B, Step: 4]
128: [Product: 14, Recipe: B, Step: 3]
129: [Product: 14, Recipe: B, Step: 3]
130: [Product: 14, Recipe: B, Step: 3]
131: [Product: 21, Recipe: B, Step: 4]
132: [Product: 21, Recipe: B, Step: 4]
133: [Product: 21, Recipe: B, Step: 4]
134: [Product: 22, Recipe: B, Step: 4]
135: [Product: 22, Recipe: B, Step: 4]
136: [Product: 22, Recipe: B, Step: 4]
137: [Product: 2, Recipe: B, Step: 4]
138: [Product: 2, Recipe: B, Step: 4]
139: [Product: 2, Recipe: B, Step: 4]
140: [Product: 10, Recipe: B, Step: 4]
141: [Product: 10, Recipe: B, Step: 4]
142: [Product: 10, Recipe: B, Step: 4]
143: [Product: 14, Recipe: B, Step: 4]
144: [Product: 14, Recipe: B, Step: 4]
145: [Product: 14, Recipe: B, Step: 4]
146: [Product: 16, Recipe: B, Step: 4]
147: [Product: 16, Recipe: B, Step: 4]
148: [Product: 16, Recipe: B, Step: 4]
149: [Product: 13, Recipe: B, Step: 4]
150: [Product: 13, Recipe: B, Step: 4]
151: [Product: 13, Recipe: B, Step: 4]
152: [switch]
153: [Product: 13, Recipe: C, Step: 5]
154: [Product: 13, Recipe: C, Step: 5]
155: [Product: 13, Recipe: C, Step: 5]
156: [Product: 13, Recipe: C, Step: 5]
157: [Product: 13, Recipe: C, Step: 5]
158: [Product: 8, Recipe: C, Step: 5]
159: [Product: 8, Recipe: C, Step: 5]
160: [Product: 8, Recipe: C, Step: 5]
161: [Product: 8, Recipe: C, Step: 5]
162: [Product: 8, Recipe: C, Step: 5]
163: [Product: 20, Recipe: C, Step: 5]
164: [Product: 20, Recipe: C, Step: 5]
165: [Product: 20, Recipe: C, Step: 5]
166: [Product: 20, Recipe: C, Step: 5]
167: [Product: 20, Recipe: C, Step: 5]
__________________________
gamma, 
1: [Product: 12, Recipe: A, Step: 1]
2: [Product: 12, Recipe: A, Step: 1]
3: [Product: 12, Recipe: A, Step: 1]
4: [Product: 12, Recipe: A, Step: 1]
5: [Product: 6, Recipe: A, Step: 1]
6: [Product: 6, Recipe: A, Step: 1]
7: [Product: 6, Recipe: A, Step: 1]
8: [Product: 6, Recipe: A, Step: 1]
9: [Product: 13, Recipe: A, Step: 1]
10: [Product: 13, Recipe: A, Step: 1]
11: [Product: 13, Recipe: A, Step: 1]
12: [Product: 13, Recipe: A, Step: 1]
13: [Product: 4, Recipe: A, Step: 1]
14: [Product: 4, Recipe: A, Step: 1]
15: [Product: 4, Recipe: A, Step: 1]
16: [Product: 4, Recipe: A, Step: 1]
17: [Product: 18, Recipe: A, Step: 1]
18: [Product: 18, Recipe: A, Step: 1]
19: [Product: 18, Recipe: A, Step: 1]
20: [Product: 18, Recipe: A, Step: 1]
21: [Product: 3, Recipe: A, Step: 1]
22: [Product: 3, Recipe: A, Step: 1]
23: [Product: 3, Recipe: A, Step: 1]
24: [Product: 3, Recipe: A, Step: 1]
25: [switch]
26: [Product: 4, Recipe: C, Step: 2]
27: [Product: 4, Recipe: C, Step: 2]
28: [Product: 4, Recipe: C, Step: 2]
29: [Product: 4, Recipe: C, Step: 2]
30: [Product: 4, Recipe: C, Step: 2]
31: [Product: 3, Recipe: C, Step: 2]
32: [Product: 3, Recipe: C, Step: 2]
33: [Product: 3, Recipe: C, Step: 2]
34: [Product: 3, Recipe: C, Step: 2]
35: [Product: 3, Recipe: C, Step: 2]
36: [Product: 14, Recipe: C, Step: 2]
37: [Product: 14, Recipe: C, Step: 2]
38: [Product: 14, Recipe: C, Step: 2]
39: [Product: 14, Recipe: C, Step: 2]
40: [Product: 14, Recipe: C, Step: 2]
41: [Product: 19, Recipe: C, Step: 2]
42: [Product: 19, Recipe: C, Step: 2]
43: [Product: 19, Recipe: C, Step: 2]
44: [Product: 19, Recipe: C, Step: 2]
45: [Product: 19, Recipe: C, Step: 2]
46: [Product: 11, Recipe: C, Step: 2]
47: [Product: 11, Recipe: C, Step: 2]
48: [Product: 11, Recipe: C, Step: 2]
49: [Product: 11, Recipe: C, Step: 2]
50: [Product: 11, Recipe: C, Step: 2]
51: [Product: 12, Recipe: C, Step: 2]
52: [Product: 12, Recipe: C, Step: 2]
53: [Product: 12, Recipe: C, Step: 2]
54: [Product: 12, Recipe: C, Step: 2]
55: [Product: 12, Recipe: C, Step: 2]
56: [Product: 5, Recipe: C, Step: 2]
57: [Product: 5, Recipe: C, Step: 2]
58: [Product: 5, Recipe: C, Step: 2]
59: [Product: 5, Recipe: C, Step: 2]
60: [Product: 5, Recipe: C, Step: 2]
61: [Product: 7, Recipe: C, Step: 2]
62: [Product: 7, Recipe: C, Step: 2]
63: [Product: 7, Recipe: C, Step: 2]
64: [Product: 7, Recipe: C, Step: 2]
65: [Product: 7, Recipe: C, Step: 2]
66: [Product: 15, Recipe: C, Step: 4]
67: [Product: 15, Recipe: C, Step: 4]
68: [Product: 15, Recipe: C, Step: 4]
69: [Product: 15, Recipe: C, Step: 4]
70: [Product: 15, Recipe: C, Step: 4]
71: [Product: 19, Recipe: C, Step: 5]
72: [Product: 19, Recipe: C, Step: 5]
73: [Product: 19, Recipe: C, Step: 5]
74: [Product: 19, Recipe: C, Step: 5]
75: [Product: 19, Recipe: C, Step: 5]
76: [Product: 6, Recipe: C, Step: 2]
77: [Product: 6, Recipe: C, Step: 2]
78: [Product: 6, Recipe: C, Step: 2]
79: [Product: 6, Recipe: C, Step: 2]
80: [Product: 6, Recipe: C, Step: 2]
81: [Product: 4, Recipe: C, Step: 5]
82: [Product: 4, Recipe: C, Step: 5]
83: [Product: 4, Recipe: C, Step: 5]
84: [Product: 4, Recipe: C, Step: 5]
85: [Product: 4, Recipe: C, Step: 5]
86: [Product: 1, Recipe: C, Step: 4]
87: [Product: 1, Recipe: C, Step: 4]
88: [Product: 1, Recipe: C, Step: 4]
89: [Product: 1, Recipe: C, Step: 4]
90: [Product: 1, Recipe: C, Step: 4]
91: [Product: 1, Recipe: C, Step: 5]
92: [Product: 1, Recipe: C, Step: 5]
93: [Product: 1, Recipe: C, Step: 5]
94: [Product: 1, Recipe: C, Step: 5]
95: [Product: 1, Recipe: C, Step: 5]
96: [Product: 18, Recipe: C, Step: 4]
97: [Product: 18, Recipe: C, Step: 4]
98: [Product: 18, Recipe: C, Step: 4]
99: [Product: 18, Recipe: C, Step: 4]
100: [Product: 18, Recipe: C, Step: 4]
101: [Product: 18, Recipe: C, Step: 5]
102: [Product: 18, Recipe: C, Step: 5]
103: [Product: 18, Recipe: C, Step: 5]
104: [Product: 18, Recipe: C, Step: 5]
105: [Product: 18, Recipe: C, Step: 5]
106: [Product: 17, Recipe: C, Step: 5]
107: [Product: 17, Recipe: C, Step: 5]
108: [Product: 17, Recipe: C, Step: 5]
109: [Product: 17, Recipe: C, Step: 5]
110: [Product: 17, Recipe: C, Step: 5]
111: [Product: 5, Recipe: C, Step: 4]
112: [Product: 5, Recipe: C, Step: 4]
113: [Product: 5, Recipe: C, Step: 4]
114: [Product: 5, Recipe: C, Step: 4]
115: [Product: 5, Recipe: C, Step: 4]
116: [Product: 6, Recipe: C, Step: 4]
117: [Product: 6, Recipe: C, Step: 4]
118: [Product: 6, Recipe: C, Step: 4]
119: [Product: 6, Recipe: C, Step: 4]
120: [Product: 6, Recipe: C, Step: 4]
121: [Product: 20, Recipe: C, Step: 4]
122: [Product: 20, Recipe: C, Step: 4]
123: [Product: 20, Recipe: C, Step: 4]
124: [Product: 20, Recipe: C, Step: 4]
125: [Product: 20, Recipe: C, Step: 4]
126: [Product: 12, Recipe: C, Step: 4]
127: [Product: 12, Recipe: C, Step: 4]
128: [Product: 12, Recipe: C, Step: 4]
129: [Product: 12, Recipe: C, Step: 4]
130: [Product: 12, Recipe: C, Step: 4]
131: [Product: 3, Recipe: C, Step: 5]
132: [Product: 3, Recipe: C, Step: 5]
133: [Product: 3, Recipe: C, Step: 5]
134: [Product: 3, Recipe: C, Step: 5]
135: [Product: 3, Recipe: C, Step: 5]
136: [Product: 6, Recipe: C, Step: 5]
137: [Product: 6, Recipe: C, Step: 5]
138: [Product: 6, Recipe: C, Step: 5]
139: [Product: 6, Recipe: C, Step: 5]
140: [Product: 6, Recipe: C, Step: 5]
141: [Product: 11, Recipe: C, Step: 4]
142: [Product: 11, Recipe: C, Step: 4]
143: [Product: 11, Recipe: C, Step: 4]
144: [Product: 11, Recipe: C, Step: 4]
145: [Product: 11, Recipe: C, Step: 4]
146: [Product: 2, Recipe: C, Step: 5]
147: [Product: 2, Recipe: C, Step: 5]
148: [Product: 2, Recipe: C, Step: 5]
149: [Product: 2, Recipe: C, Step: 5]
150: [Product: 2, Recipe: C, Step: 5]
151: [Product: 11, Recipe: C, Step: 5]
152: [Product: 11, Recipe: C, Step: 5]
153: [Product: 11, Recipe: C, Step: 5]
154: [Product: 11, Recipe: C, Step: 5]
155: [Product: 11, Recipe: C, Step: 5]
156: [Product: 16, Recipe: C, Step: 5]
157: [Product: 16, Recipe: C, Step: 5]
158: [Product: 16, Recipe: C, Step: 5]
159: [Product: 16, Recipe: C, Step: 5]
160: [Product: 16, Recipe: C, Step: 5]
161: [Product: 22, Recipe: C, Step: 5]
162: [Product: 22, Recipe: C, Step: 5]
163: [Product: 22, Recipe: C, Step: 5]
164: [Product: 22, Recipe: C, Step: 5]
165: [Product: 22, Recipe: C, Step: 5]
total_cost: 433720
Profit: 446280
_____________________________________state_______________________________________
alpha, 
1: [Product: 5, Recipe: A, Step: 1]
2: [Product: 5, Recipe: A, Step: 1]
3: [Product: 5, Recipe: A, Step: 1]
4: [Product: 5, Recipe: A, Step: 1]
5: [Product: 14, Recipe: A, Step: 1]
6: [Product: 14, Recipe: A, Step: 1]
7: [Product: 14, Recipe: A, Step: 1]
8: [Product: 14, Recipe: A, Step: 1]
9: [Product: 9, Recipe: A, Step: 1]
10: [Product: 9, Recipe: A, Step: 1]
11: [Product: 9, Recipe: A, Step: 1]
12: [Product: 9, Recipe: A, Step: 1]
13: [Product: 22, Recipe: A, Step: 1]
14: [Product: 22, Recipe: A, Step: 1]
15: [Product: 22, Recipe: A, Step: 1]
16: [Product: 22, Recipe: A, Step: 1]
17: [Product: 17, Recipe: A, Step: 1]
18: [Product: 17, Recipe: A, Step: 1]
19: [Product: 17, Recipe: A, Step: 1]
20: [Product: 17, Recipe: A, Step: 1]
21: [Product: 12, Recipe: A, Step: 1]
22: [Product: 12, Recipe: A, Step: 1]
23: [Product: 12, Recipe: A, Step: 1]
24: [Product: 12, Recipe: A, Step: 1]
25: [Product: 18, Recipe: A, Step: 1]
26: [Product: 18, Recipe: A, Step: 1]
27: [Product: 18, Recipe: A, Step: 1]
28: [Product: 18, Recipe: A, Step: 1]
29: [switch]
30: [Product: 2, Recipe: E, Step: 2]
31: [Product: 2, Recipe: E, Step: 2]
32: [Product: 2, Recipe: E, Step: 2]
33: [Product: 2, Recipe: E, Step: 2]
34: [Product: 2, Recipe: E, Step: 2]
35: [Product: 2, Recipe: E, Step: 2]
36: [Product: 15, Recipe: E, Step: 2]
37: [Product: 15, Recipe: E, Step: 2]
38: [Product: 15, Recipe: E, Step: 2]
39: [Product: 15, Recipe: E, Step: 2]
40: [Product: 15, Recipe: E, Step: 2]
41: [Product: 15, Recipe: E, Step: 2]
42: [Product: 11, Recipe: E, Step: 2]
43: [Product: 11, Recipe: E, Step: 2]
44: [Product: 11, Recipe: E, Step: 2]
45: [Product: 11, Recipe: E, Step: 2]
46: [Product: 11, Recipe: E, Step: 2]
47: [Product: 11, Recipe: E, Step: 2]
48: [Product: 1, Recipe: E, Step: 3]
49: [Product: 1, Recipe: E, Step: 3]
50: [Product: 1, Recipe: E, Step: 3]
51: [Product: 1, Recipe: E, Step: 3]
52: [Product: 1, Recipe: E, Step: 3]
53: [Product: 1, Recipe: E, Step: 3]
54: [Product: 18, Recipe: E, Step: 3]
55: [Product: 18, Recipe: E, Step: 3]
56: [Product: 18, Recipe: E, Step: 3]
57: [Product: 18, Recipe: E, Step: 3]
58: [Product: 18, Recipe: E, Step: 3]
59: [Product: 18, Recipe: E, Step: 3]
60: [Product: 2, Recipe: E, Step: 3]
61: [Product: 2, Recipe: E, Step: 3]
62: [Product: 2, Recipe: E, Step: 3]
63: [Product: 2, Recipe: E, Step: 3]
64: [Product: 2, Recipe: E, Step: 3]
65: [Product: 2, Recipe: E, Step: 3]
66: [Product: 13, Recipe: E, Step: 2]
67: [Product: 13, Recipe: E, Step: 2]
68: [Product: 13, Recipe: E, Step: 2]
69: [Product: 13, Recipe: E, Step: 2]
70: [Product: 13, Recipe: E, Step: 2]
71: [Product: 13, Recipe: E, Step: 2]
72: [Product: 11, Recipe: E, Step: 3]
73: [Product: 11, Recipe: E, Step: 3]
74: [Product: 11, Recipe: E, Step: 3]
75: [Product: 11, Recipe: E, Step: 3]
76: [Product: 11, Recipe: E, Step: 3]
77: [Product: 11, Recipe: E, Step: 3]
78: [Product: 22, Recipe: E, Step: 3]
79: [Product: 22, Recipe: E, Step: 3]
80: [Product: 22, Recipe: E, Step: 3]
81: [Product: 22, Recipe: E, Step: 3]
82: [Product: 22, Recipe: E, Step: 3]
83: [Product: 22, Recipe: E, Step: 3]
84: [Product: 5, Recipe: E, Step: 2]
85: [Product: 5, Recipe: E, Step: 2]
86: [Product: 5, Recipe: E, Step: 2]
87: [Product: 5, Recipe: E, Step: 2]
88: [Product: 5, Recipe: E, Step: 2]
89: [Product: 5, Recipe: E, Step: 2]
90: [Product: 6, Recipe: E, Step: 3]
91: [Product: 6, Recipe: E, Step: 3]
92: [Product: 6, Recipe: E, Step: 3]
93: [Product: 6, Recipe: E, Step: 3]
94: [Product: 6, Recipe: E, Step: 3]
95: [Product: 6, Recipe: E, Step: 3]
96: [Product: 9, Recipe: E, Step: 3]
97: [Product: 9, Recipe: E, Step: 3]
98: [Product: 9, Recipe: E, Step: 3]
99: [Product: 9, Recipe: E, Step: 3]
100: [Product: 9, Recipe: E, Step: 3]
101: [Product: 9, Recipe: E, Step: 3]
102: [Product: 3, Recipe: E, Step: 3]
103: [Product: 3, Recipe: E, Step: 3]
104: [Product: 3, Recipe: E, Step: 3]
105: [Product: 3, Recipe: E, Step: 3]
106: [Product: 3, Recipe: E, Step: 3]
107: [Product: 3, Recipe: E, Step: 3]
108: [Product: 10, Recipe: E, Step: 3]
109: [Product: 10, Recipe: E, Step: 3]
